level,taxa,p.value,T0,T1,T2
genus,Candidatus Nitrocosmicus,0.000430364659008387,7.77279587501935e-05,2.37962387838172e-05,0.000586823915123178
genus,Phenylobacterium,0.000464258491443887,4.38382603372593e-05,4.06042442541324e-05,0.000255051303454471
genus,Roseimicrobium,0.00047475424169817,1.63579673008223e-05,6.72008150496235e-06,0.000282905544903131
genus,Pygmaiobacter,0.000478297273725462,0.000226453331757104,0.000867588893015068,0.000314675124934133
genus,Ellin6067,0.000509505834827018,1.26063843290512e-05,0,9.95885556442033e-05
genus,uncultured proteobacterium,0.00057628351362724,3.02809595938827e-06,0,0.000129035716304874
genus,Fibrobacter,0.000690077531212845,0.000135597394493825,7.51221592408009e-05,0.00142395593925023
genus,uncultured crenarchaeote,0.000719784639758872,3.71991670400186e-06,8.34684708234129e-06,0.000228789051075171
genus,Chryseolinea,0.000732202839138852,0,0,0.000104981235783883
genus,Ferruginibacter,0.000760942872195341,0.000624306136727573,0.000474740438941274,0.00194224695469767
genus,Chryseobacterium,0.000811812990206281,0.000804582330483602,0.00233581244302119,0.00316285589191234
genus,Blastococcus,0.000937316462490322,0.000228732520316588,2.24847489112753e-05,0.000493258883938845
genus,Blastocatella,0.000997498140113548,7.55096934767437e-05,0.000136661244116898,0.000497074104675464
genus,Hypnocyclicus,0.00106151587301011,1.90519648138207e-05,2.10009510830409e-05,0.000152416754807271
genus,Friedmanniella,0.00127885172371244,0.000273378998522657,0.000259699499875305,0.000885166609702534
genus,Macrococcus,0.00142135041162524,0.00577588488656867,0.00964156129718996,0.0626206287533699
genus,Spirosoma,0.0014541274302667,0.000124639717934071,0.000163459985801981,0.000821724884782026
genus,Roseomonas,0.00163926168500347,2.24910117184446e-05,4.77910711365068e-05,0.000208021105429596
genus,Actinomycetospora,0.00167696800901216,1.25362974928474e-05,0,8.68089748065506e-05
genus,Pseudomonas,0.00174168160693918,0.00139860921393471,0.00154901801855922,0.00362759753941119
genus,Desulfomicrobium,0.00175908309741599,4.33897343842655e-06,0,6.80270098151906e-05
genus,Oscillibacter,0.00179030998235649,0.000574822088095368,0.00145638403899393,0.000482589123191087
genus,[Eubacterium] nodatum group,0.0019369823901669,0.00294474323204681,0.00485691539662253,0.00103640677935041
genus,Bryobacter,0.00202332674004933,0.000153392935281504,8.08505538408864e-05,0.000564846717592141
genus,Gaiella,0.00203887140153886,0.000297878735795126,0.000263274602902642,0.000827267835152641
genus,Variibacter,0.00206578373646893,3.79104803147716e-06,4.19190612172224e-05,0.000109878196417182
genus,Candidatus Udaeobacter,0.0021107817673135,0.000168171574329824,0.0001555696195953,0.000679056382034883
genus,Marmoricola,0.00225155569134021,0.000417006598476242,0.000246331933683568,0.00107732699263058
genus,Steroidobacter,0.00249009427688059,1.2246678040593e-05,8.51636024509307e-06,0.000139745093933655
genus,Anaerocolumna,0.0027573360611658,1.09312851140145e-05,0.000123941791706431,0
genus,Novosphingobium,0.0028031211095516,0.000343583886575127,0.000362605773750998,0.00112399101897567
genus,Ruminococcus 2,0.0028116403284578,0.0205461573649263,0.0262565838399354,0.00671162711452261
genus,Ruminococcaceae UCG-014,0.00286228529009448,0.0141550830612134,0.0138840543798868,0.00537415330279412
genus,Pseudonocardia,0.00291021869780952,8.17627225362405e-05,9.77944738096113e-05,0.000372445722314958
genus,Paraburkholderia tropica,0.00309177608024558,0.000421317205706701,0.000230590466515285,0.00103667311109656
genus,Aridibacter,0.00314054213102293,2.06014053536914e-05,0.000125477779798577,0.000311870459343312
genus,Parasegetibacter,0.00324986450699448,5.0717741609791e-05,3.77472745261051e-05,0.000363930269153268
genus,Roseimarinus,0.00326592930698325,7.55945474510939e-06,0,0.000274893202698402
genus,Clostridioides,0.00345851455845088,0.000470636822323691,0.000874958025087342,0.000227431382920606
genus,Defluviitaleaceae UCG-011,0.00440696180025612,0.000832632594027864,0.00152515875015463,0.000317282321512328
genus,Mucilaginibacter,0.00486499732435177,0.000584709092576009,0.000533949068794053,0.0015237464259019
genus,Lacunisphaera,0.00525001706675926,1.33993105607569e-05,1.58377544574314e-05,0.000294885262449742
genus,Rhodococcus,0.00570792735873352,0.00126691906036078,0.00208730023734785,0.00404992911278742
genus,Sanguibacter,0.00628068777726661,9.81555953650873e-05,7.44355707788336e-05,0.000402863336610994
genus,Herbiconiux,0.00646916912604432,8.44042341283379e-05,2.40439586755984e-05,0.000343730029000315
genus,Mogibacterium,0.00657721679426116,0.00117042784151599,0.00199647533898588,0.000350253187200321
genus,Enterobacter,0.00705371184469788,7.49584114760873e-06,3.66281188660399e-05,0.000107168093041279
genus,Rathayibacter,0.0071539066171919,0.000170734912961082,0.000101869070742356,0.000527377138789671
genus,Paeniclostridium,0.00731684165663856,0.000777370945665556,0.00156972645737998,0.000437447537690115
genus,Altererythrobacter,0.00745896097740718,0.00031960611296991,0.000192924868309561,0.00078491155560172
genus,Luteitalea,0.00747686896549495,4.79072845725628e-05,3.96164829332291e-05,0.000600339877788105
genus,Microvirga,0.00821385329776848,0.000469519073611952,0.000577621414781826,0.00174229295504383
genus,Cytophaga,0.00827907006094451,8.54170011891031e-05,8.89264002251179e-05,0.000287280848792168
genus,Family XIII AD3011 group,0.00854474110713244,0.00623784138746879,0.00797946640112389,0.00227421780864511
genus,Prevotellaceae UCG-003,0.00978196448248706,0.000871846975587826,0.00167568574219263,0.00207341433690756
genus,Candidatus Xiphinematobacter,0.00984809078062141,0.000211041229398968,6.54378098123783e-05,0.000745359706488866
genus,Hymenobacter,0.0111296815522189,0.000545412110599114,0.000396983141976093,0.00151205405129009
genus,Propioniciclava,0.0112097963689544,1.30617349198202e-05,0.000232689316599516,0.000111337198353679
genus,Pseudarthrobacter,0.0115256931177079,0.000175244503291597,4.5339227806795e-05,0.000512667945661393
genus,Micrococcus,0.011662463095918,0.000988406813939271,0.0010247817916449,0.00656935422685646
genus,Ruminococcaceae UCG-010,0.0117815148436053,0.0444625476463967,0.0763183471098496,0.0200284017372201
genus,Sphingomonas,0.0120096461367613,0.00540134100096506,0.00470072249099967,0.0123173066313067
genus,Bacteroides,0.0125409913600777,0.0176480029145681,0.0396737316621612,0.0263605137720863
genus,uncultured methanogenic archaeon,0.013090315679767,2.06098345530282e-05,0,0.000164454667619872
genus,Okibacterium,0.0133315500770124,0.000500092604402187,0.000339530822861436,0.00103775503236335
genus,Negativibacillus,0.0139723256719773,0.000629507666107414,0.00113671729843141,0.000327133719004693
genus,Lachnospiraceae NK4A136 group,0.0150331170205854,0.00232857014667705,0.00411734466993607,0.00136900865820864
genus,Rhodoglobus,0.015564171947095,0.000541659993724982,0.00039517215948524,0.00105276836606089
genus,Tepidisphaera,0.0156109649012595,3.38451122540683e-05,1.50845849184462e-05,0.00027530895456025
genus,Alkaliflexus,0.016028750027401,0,0,0.000155591712049728
genus,Fibrella,0.0162920930030378,4.65813017651097e-06,3.81335753750095e-05,8.50009112741068e-05
genus,[Eubacterium] hallii group,0.0175908380125446,0.00253911174978086,0.00315522934320954,0.00066640492018433
genus,Lachnoclostridium 10,0.0180751695739709,0.000418098211583175,0.00101864399361544,0.000511465990792227
genus,Fimbriiglobus,0.0181234293440321,8.154099124119e-06,0,0.00012229131526377
genus,Bdellovibrio,0.018597231822238,4.17416301034624e-05,0,0.000172255885992972
genus,Rhodopirellula,0.0186149323344701,9.80315644422203e-06,0,0.000183471648423634
genus,Ruminiclostridium 5,0.0192099566135816,0.00090908814851236,0.00179331405841792,0.000778593906145887
genus,Kineococcus,0.0194299457720092,0.000124124124882345,1.77164224156295e-05,0.000326518787975162
genus,Candidatus Soleaferrea,0.0198846371666685,0.000735319535227653,0.00151226657084605,0.000551569511264466
genus,Massilia,0.0202016713813755,0.00012584823181406,0.000166690424715746,0.000430812029362655
genus,Prevotellaceae UCG-001,0.0213977047509142,0.000175041177875712,0.000539689758294982,0.000499393046061133
genus,Paludibacter,0.0219314882536469,6.5681232415188e-05,3.8053129175666e-05,0.000329239993477996
genus,Sphingopyxis,0.0234590615177499,0.000343369415714109,0.000849000165232775,0.000994289397384932
genus,Candidatus Saccharimonas,0.0249662617718754,0.00902592382110585,0.00856961672409198,0.00301699110389957
genus,Pseudoxanthomonas,0.0253322413664048,3.53059615734997e-06,2.64748102368132e-05,0.000101773644248289
genus,Christensenellaceae R-7 group,0.0262139604889346,0.0178464639731403,0.0236665554815602,0.0102056675727303
genus,Cellulosilyticum,0.0265304969187512,0.00556280927661399,0.00476513562612981,0.00187228698412419
genus,[Eubacterium] brachy group,0.0268331221219923,0.00215007645328697,0.00302630207537156,0.00103254478464184
genus,Conexibacter,0.0268865709756423,3.10017229938726e-06,7.13580123248254e-06,9.78893560827903e-05
genus,Phyllobacterium,0.0271756906486183,0.000105336146166517,0,0.000220874059352222
genus,Hydrogenoanaerobacterium,0.0322787463517719,4.52043833099649e-05,0.000111145017299823,0
genus,Ruminococcaceae UCG-009,0.0341505967917824,0.0049307103675073,0.00822944170294581,0.00276857932185052
genus,Lysobacter,0.0351920553231057,3.76662542235327e-05,5.19657189314653e-05,0.000177601950050658
genus,Lapillicoccus,0.0358683953243415,8.87515530326755e-05,4.90939809641116e-05,0.000232615690754365
genus,Tychonema CCAP 1459-11B,0.0360086052726523,0.000133069693135887,4.95078203335292e-05,0.000417134454029319
genus,Simplicimonas,0.036116681720436,1.35789573372145e-05,5.97709966933837e-05,0.000135092990403392
genus,Prevotella 1,0.03619346806344,0.000306324874854219,0.000458575934785028,0.000726269431173633
genus,Ruminiclostridium 9,0.0372607888073196,0.000499444576630844,0.000823974637593991,0.000221053998174468
genus,Rheinheimera,0.0374282380977272,0,0,8.90497592704412e-05
genus,uncultured archaeon,0.0387655771885596,7.76345115523355e-06,0,6.98397149836771e-05
genus,Anaeroplasma,0.0389190663281178,6.95759733874568e-05,0.000331139558291932,0.00014574763758509
genus,Ruminococcaceae NK4A214 group,0.0389960054191042,0.00602804582126346,0.00824417032249658,0.00326468928000747
genus,Microlunatus,0.0402185511709866,0.00073309857991054,0.000569612482541584,0.00153342461284543
genus,Aquabacterium,0.04057466691511,0,3.83194222692564e-05,0.000267998762423437
genus,Candidatus Alysiosphaera,0.0408635920152801,0.000189710742595414,0.000108246698006729,0.000418851142429899
genus,Tessaracoccus,0.0416334383986704,0.000309296212275587,0.000333584599317408,0.000870400647151731
genus,Lachnospiraceae NC2004 group,0.0416755612792756,0.000272731805104601,0.000395047287267942,8.143059446029e-05
genus,Anaerocella,0.0450659486100002,0.000480073092491496,0.000613304160024919,0.00190326364667464
genus,Reyranella,0.0465676051005778,0.00012576930786066,8.07219381428965e-05,0.000359438839289609
genus,Lachnospiraceae UCG-008,0.0466238496367033,0.000714009204870447,0.000776910149993284,0.000263739582754152
genus,Rhodoferax,0.0468022938831281,5.44962015644467e-06,9.30509068339149e-05,9.93876521264872e-05
genus,Lachnospiraceae UCG-010,0.0490852424876859,0.0001371052929647,0.000295219774798002,6.50461366406361e-05
genus,Ruminococcaceae UCG-004,0.0492319080564683,0.00134436141611961,0.00233605665728597,0.000832803984412708
